刘烈宏拜会湖南省、长沙市领导，携手共进“智造”新时代 | 要闻 http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890511&idx=1&sn=b0bc6ab76a7ea7e91e12f6cf76f0ebae&chksm=be95a32c89e22a3a9d62228062aca9c70cbdf9aca016df2801a80860b56a7e9abd8e134dce59#rd	[2017/12/14]
胡爱民：携手龙岩共建产业、共赢发展 | 特别关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890511&idx=2&sn=5d1ff8f6c2e843c1f8bc2be147b8219d&chksm=be95a32c89e22a3a35883f4743420bb8a063a4b83d41f49a96f932a6863c0135aff5b1e1d407#rd	[2017/12/14]
中国电科：以党的十九大精神指导新时代工会工作 | 关注	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890511&idx=3&sn=197b6085635668be55b12a61b75c946b&chksm=be95a32c89e22a3a649a079bf2c0f5b3eaff3533f3b8a89f8e810f5898bf24e60b8ba7930f17#rd	[2017/12/14]
声光电磁子集团发力四大举措 学习宣贯好十九大精神 | 十九大·在电科	https://mp.weixin.qq.com/s/Bj7sx9-7_dWHanM6MB8Uyw	[2017/12/07]
中国电科积极开展“12.4”国家宪法日法治宣传活动 | 国家宪法日	http://mp.weixin.qq.com/s/4isOhEZgpzaLdIOPC7b0Wg	[2017/12/07]
强基、改革、脱困，47所以党的十九大精神指引发展 | 十九大·在电科	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890511&idx=4&sn=4148ef4e448495d9c51262ff3fd9dd36&chksm=be95a32c89e22a3a1b63bcbec23642dd75809896c8de54324dfa262cbbcfbba6769a62b735f8#rd	[2017/12/14]
左群声：打造智慧城市生态，推进新型智慧城市事业 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890448&idx=1&sn=34188e6b85a4b398b707a5e398e12b3d&chksm=be95a37389e22a659869cacad48b598fbe3c510e30a16488c4590ce7aa189d0ad90a014b66b8#rd	[2017/12/12]
刘烈宏应邀出席“企业家高峰对话”，共探互联网时代的新经济 | 乌镇直击	http://mp.weixin.qq.com/s/cZT_pRyVxoOHAHOKb9AFMA	[2017/12/07]
中国电科9大优质项目参加乌镇峰会军民融合项目对接 | 乌镇直击	http://mp.weixin.qq.com/s/mJ5le9nwXck7JRVRe7nE-Q	[2017/12/07]
讲、答、唱并举，中国网安举办系列特色活动学习贯彻党的十九大精神 | 十九大·在电科	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890448&idx=2&sn=8211d7b599966618f6172d018fd87a4f&chksm=be95a37389e22a65fde3510affdd29f9d8dc19b8cc012a116a4279cf939187d0d03ed1f70f9f#rd	[2017/12/12]
张登洲：以党的十九大精神为指引，谋划做好财务及国际化业务工作 | 要闻	http://mp.weixin.qq.com/s?__biz=MjM5MzY5NjkwOA==&mid=2649890430&idx=1&sn=1fa484d050644291f8c8fbd211be3481&chksm=be95a39d89e22a8b5d76afc2ba77ba33eb82d68473ed62b26b8a512bce820eab8a2717180b17#rd	[2017/12/11]
